,track_id,track_name,href,popularity,uri,release_date,album_id,album_name,duration,loudness,tempo,time_signature,key,mode,acousticness,energy,instrumentalness,danceability,liveness,speechiness
37,6tbSgMKlQ31izXvorTATrn,Sorry,https://api.spotify.com/v1/tracks/6tbSgMKlQ31izXvorTATrn,41.0,spotify:track:6tbSgMKlQ31izXvorTATrn,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,169.38345,-10.633,84.673,4/4,D#/Eb,Major,0.883,0.359,0.0975,0.379,0.105,0.0339
38,0Roq5A8tnn2HgarMwUWZPI,Be Alright,https://api.spotify.com/v1/tracks/0Roq5A8tnn2HgarMwUWZPI,35.0,spotify:track:0Roq5A8tnn2HgarMwUWZPI,2020-05-20,1AHbVBPlzsI0k18agZQ6zr,HELP EVER HURT COVER,184.97333,-8.599,108.982,4/4,E,Minor,0.75,0.468,0.0001,0.681,0.124,0.0285
39,0pGCX84PwhZJvj1KXO11HH,Teenage Dream,https://api.spotify.com/v1/tracks/0pGCX84PwhZJvj1KXO11HH,40.0,spotify:track:0pGCX84PwhZJvj1KXO11HH,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,253.98264,-10.141,116.889,4/4,D,Major,0.85,0.392,0.0495,0.769,0.0747,0.0348
40,1Ne4bYb1ZoGShX3Q0ORoY7,Good As Hell,https://api.spotify.com/v1/tracks/1Ne4bYb1ZoGShX3Q0ORoY7,40.0,spotify:track:1Ne4bYb1ZoGShX3Q0ORoY7,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,158.36862,-9.595,96.677,4/4,A,Major,0.862,0.561,0.423,0.515,0.147,0.0481
41,2JS2MXOcqKr8zZo8cbsOfy,Hot Stuff,https://api.spotify.com/v1/tracks/2JS2MXOcqKr8zZo8cbsOfy,39.0,spotify:track:2JS2MXOcqKr8zZo8cbsOfy,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,214.37125,-10.163,110.989,4/4,B,Minor,0.893,0.349,0.769,0.825,0.126,0.037
42,0Ogz120T98XLakKbkK0uZe,Overprotected,https://api.spotify.com/v1/tracks/0Ogz120T98XLakKbkK0uZe,40.0,spotify:track:0Ogz120T98XLakKbkK0uZe,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,201.16522,-8.951,95.942,4/4,G#/Ab,Minor,0.843,0.499,0.0144,0.695,0.347,0.0549
44,2fzSuzEQiUahPrIU7wzIPT,"Eh, Eh",https://api.spotify.com/v1/tracks/2fzSuzEQiUahPrIU7wzIPT,41.0,spotify:track:2fzSuzEQiUahPrIU7wzIPT,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,166.98317,-12.105,94.006,4/4,B,Major,0.945,0.267,0.292,0.831,0.0965,0.0343
45,4EwKtJQT2ZHKzECGH3EjLx,青春病,https://api.spotify.com/v1/tracks/4EwKtJQT2ZHKzECGH3EjLx,48.0,spotify:track:4EwKtJQT2ZHKzECGH3EjLx,2020-10-30,4L6znWirdFX9BDIsaSi9Fb,青春病,321.11215,-6.518,108.04,4/4,C#/Db,Major,0.141,0.809,8.06e-05,0.665,0.322,0.0443
46,12OzpDDrf5OSwymIJKaRuf,Circles,https://api.spotify.com/v1/tracks/12OzpDDrf5OSwymIJKaRuf,39.0,spotify:track:12OzpDDrf5OSwymIJKaRuf,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,196.60866,-9.732,114.955,4/4,C,Major,0.919,0.349,0.736,0.767,0.131,0.0359
48,1EM9pvygHqQm03as6sxLg9,旅路,https://api.spotify.com/v1/tracks/1EM9pvygHqQm03as6sxLg9,50.0,spotify:track:1EM9pvygHqQm03as6sxLg9,2021-03-01,2SefMSCTkNiWFHHgs0uGz4,旅路,277.33334,-7.124,171.936,4/4,A,Major,0.0711,0.556,3.24e-06,0.59,0.08,0.07
49,2PEERoxfcVUZlKKiUfNlnW,Shake It Off,https://api.spotify.com/v1/tracks/2PEERoxfcVUZlKKiUfNlnW,30.0,spotify:track:2PEERoxfcVUZlKKiUfNlnW,2020-05-20,1AHbVBPlzsI0k18agZQ6zr,HELP EVER HURT COVER,262.76,-11.484,138.007,4/4,C,Minor,0.917,0.318,0.00685,0.742,0.143,0.0511
